,product_code,state,timestamp,tick_id,best_bid,best_ask,best_bid_size,best_ask_size,total_bid_depth,total_ask_depth,market_bid_size,market_ask_size,ltp,volume,volume_by_product,datetime
251460,ETH_JPY,RUNNING,2022-02-23T17:55:54.187,37314718.0,306893.0,307149.0,0.2,1.65,4077.2841979,2451.7408757,0.0,0.0,306892.0,13747.9553868,13747.9553868,2022-02-23 17:55:54.187000+00:00
251462,ETH_JPY,RUNNING,2022-02-23T17:55:55.497,37314748.0,306937.0,307202.0,1.58,0.7503775,4088.6107953,2454.9994492,0.0,0.0,306892.0,13747.9553868,13747.9553868,2022-02-23 17:55:55.497000+00:00
251464,ETH_JPY,RUNNING,2022-02-23T17:55:57.263,37314803.0,307231.0,307333.0,8.9968527,0.2,4090.0627953,2443.5850717,0.0,0.0,307202.0,13748.6957643,13748.6957643,2022-02-23 17:55:57.263000+00:00
251467,ETH_JPY,RUNNING,2022-02-23T17:55:58.793,37314843.0,307004.0,307254.0,0.2,1.56,4076.7159426,2454.4399849,0.0,0.0,307234.0,13745.5926143,13745.5926143,2022-02-23 17:55:58.793000+00:00
251468,ETH_JPY,RUNNING,2022-02-23T17:55:59.983,37314865.0,307004.0,307254.0,0.2,1.56,4074.3311126,2466.4154087,0.0,0.0,307234.0,13745.5926143,13745.5926143,2022-02-23 17:55:59.983000+00:00
251470,ETH_JPY,RUNNING,2022-02-23T17:56:03.147,37314942.0,306888.0,307177.0,0.61,1.12,4068.4849426,2469.9199058,0.0,0.0,307254.0,13745.6926143,13745.6926143,2022-02-23 17:56:03.147000+00:00
251472,ETH_JPY,RUNNING,2022-02-23T17:56:04.643,37314988.0,306888.0,307126.0,0.01,0.2,4074.5999426,2470.7849011,0.0,0.0,307254.0,13745.6926143,13745.6926143,2022-02-23 17:56:04.643000+00:00
251475,ETH_JPY,RUNNING,2022-02-23T17:56:06.053,37315013.0,306891.0,306947.0,1.09,0.2,4076.1139426,2458.9834021,0.0,0.0,306891.0,13745.7026143,13745.7026143,2022-02-23 17:56:06.053000+00:00
251476,ETH_JPY,RUNNING,2022-02-23T17:56:07.67,37315052.0,306913.0,307188.0,1.62,0.2,4084.3549426,2448.6684982,0.0,0.0,306947.0,13745.8926143,13745.8926143,2022-02-23 17:56:07.670000+00:00
251479,ETH_JPY,RUNNING,2022-02-23T17:56:08.747,37315076.0,306988.0,307325.0,0.2,1.58,4087.6169426,2450.4157209,0.0,0.0,306947.0,13745.8926143,13745.8926143,2022-02-23 17:56:08.747000+00:00
251480,ETH_JPY,RUNNING,2022-02-23T17:56:42.22,37315501.0,307210.0,307437.0,0.22,0.2,4092.2940112,2462.9901558,0.0,0.0,307444.0,13744.6226143,13744.6226143,2022-02-23 17:56:42.220000+00:00
251483,ETH_JPY,RUNNING,2022-02-23T17:56:44.587,37315538.0,307210.0,307437.0,0.82,0.2,4092.4819258,2463.5901558,0.0,0.0,307444.0,13744.6226143,13744.6226143,2022-02-23 17:56:44.587000+00:00
251485,ETH_JPY,RUNNING,2022-02-23T17:56:45.98,37315557.0,307210.0,307437.0,0.82,0.2,4099.1669258,2458.2751585,0.0,0.0,307444.0,13744.6226143,13744.6226143,2022-02-23 17:56:45.980000+00:00
251486,ETH_JPY,RUNNING,2022-02-23T17:56:47.467,37315602.0,307210.0,307364.0,0.22,1.55,4082.5337558,2458.8188247,0.0,0.0,307444.0,13744.4726143,13744.4726143,2022-02-23 17:56:47.467000+00:00
251488,ETH_JPY,RUNNING,2022-02-23T17:56:48.85,37315645.0,307066.0,307133.0,1.1201907,0.5294225,4073.4950885,2466.0631748,0.0,0.0,307133.0,13744.7026143,13744.7026143,2022-02-23 17:56:48.850000+00:00
251490,ETH_JPY,RUNNING,2022-02-23T17:56:50.28,37315696.0,306892.0,307157.0,6.0,1.6,4080.8725651,2464.9134955,0.0,0.0,307066.0,13745.812805,13745.812805,2022-02-23 17:56:50.280000+00:00
251493,ETH_JPY,RUNNING,2022-02-23T17:56:51.467,37315713.0,306892.0,307156.0,7.0773942,0.2,4081.7072145,2465.1234955,0.0,0.0,307066.0,13745.812805,13745.812805,2022-02-23 17:56:51.467000+00:00
251495,ETH_JPY,RUNNING,2022-02-23T17:56:53.05,37315742.0,307000.0,307156.0,0.4109,0.8,4082.7536947,2473.1734447,0.0,0.0,307066.0,13745.812805,13745.812805,2022-02-23 17:56:53.050000+00:00
251496,ETH_JPY,RUNNING,2022-02-23T17:56:54.473,37315761.0,307000.0,307157.0,0.4109,1.6,4082.723195,2469.3088589,0.0,0.0,307066.0,13745.812805,13745.812805,2022-02-23 17:56:54.473000+00:00
251499,ETH_JPY,RUNNING,2022-02-23T17:56:56.42,37315785.0,307000.0,307157.0,0.4109,1.6,4082.940195,2460.3588616,0.0,0.0,307066.0,13745.812805,13745.812805,2022-02-23 17:56:56.420000+00:00
